,Kernel,Nu,Gamma,Degree,Fmeasure
193,poly,0.75,3.0,4,0.5058236272878536
194,poly,0.75,3.0,5,0.5174708818635607
195,poly,0.75,3.5,1,0.5207986688851913
196,poly,0.75,3.5,2,0.5424292845257903
197,poly,0.75,3.5,3,0.5174708818635607
198,poly,0.75,3.5,4,0.5058236272878536
199,poly,0.75,3.5,5,0.5091514143094842
200,poly,0.75,4.0,1,0.540765391014975
201,poly,0.75,4.0,2,0.5391014975041597
202,poly,0.75,4.0,3,0.5224625623960066
203,poly,0.75,4.0,4,0.5074875207986689
204,poly,0.75,4.0,5,0.5058236272878536
205,poly,0.75,4.5,1,0.5657237936772047
206,poly,0.75,4.5,2,0.5424292845257903
207,poly,0.75,4.5,3,0.5074875207986689
208,poly,0.75,4.5,4,0.49584026622296173
209,poly,0.75,4.5,5,0.5091514143094842
210,poly,0.75,5.0,1,0.5324459234608985
211,poly,0.75,5.0,2,0.5440931780366056
212,poly,0.75,5.0,3,0.5174708818635607
213,poly,0.75,5.0,4,0.502495840266223
214,poly,0.75,5.0,5,0.5158069883527454
215,poly,0.75,10.0,1,0.5374376039933444
216,poly,0.75,10.0,2,0.5391014975041597
217,poly,0.75,10.0,3,0.5174708818635607
218,poly,0.75,10.0,4,0.502495840266223
219,poly,0.75,10.0,5,0.5158069883527454
220,poly,0.9,0.5,1,0.46921797004991683
221,poly,0.9,0.5,2,0.47920133111480867
222,poly,0.9,0.5,3,0.502495840266223
223,poly,0.9,0.5,4,0.4925124792013311
224,poly,0.9,0.5,5,0.4875207986688852
225,poly,0.9,1.0,1,0.4908485856905158
226,poly,0.9,1.0,2,0.4858569051580699
227,poly,0.9,1.0,3,0.5074875207986689
228,poly,0.9,1.0,4,0.4925124792013311
229,poly,0.9,1.0,5,0.4875207986688852
230,poly,0.9,1.5,1,0.4559068219633943
231,poly,0.9,1.5,2,0.47920133111480867
232,poly,0.9,1.5,3,0.5058236272878536
233,poly,0.9,1.5,4,0.4925124792013311
234,poly,0.9,1.5,5,0.4875207986688852
235,poly,0.9,2.0,1,0.49750415973377704
236,poly,0.9,2.0,2,0.480865224625624
237,poly,0.9,2.0,3,0.5058236272878536
238,poly,0.9,2.0,4,0.4925124792013311
239,poly,0.9,2.0,5,0.4875207986688852
240,poly,0.9,2.5,1,0.4908485856905158
241,poly,0.9,2.5,2,0.480865224625624
242,poly,0.9,2.5,3,0.5058236272878536
243,poly,0.9,2.5,4,0.4925124792013311
244,poly,0.9,2.5,5,0.4875207986688852
245,poly,0.9,3.0,1,0.46755407653910147
246,poly,0.9,3.0,2,0.480865224625624
247,poly,0.9,3.0,3,0.5058236272878536
248,poly,0.9,3.0,4,0.4925124792013311
249,poly,0.9,3.0,5,0.4875207986688852
250,poly,0.9,3.5,1,0.5174708818635607
251,poly,0.9,3.5,2,0.4841930116472546
252,poly,0.9,3.5,3,0.5058236272878536
253,poly,0.9,3.5,4,0.4925124792013311
254,poly,0.9,3.5,5,0.4875207986688852
255,poly,0.9,4.0,1,0.5590682196339434
256,poly,0.9,4.0,2,0.4841930116472546
257,poly,0.9,4.0,3,0.5058236272878536
258,poly,0.9,4.0,4,0.4925124792013311
259,poly,0.9,4.0,5,0.4875207986688852
260,poly,0.9,4.5,1,0.46422628951747086
261,poly,0.9,4.5,2,0.4825291181364393
262,poly,0.9,4.5,3,0.5058236272878536
263,poly,0.9,4.5,4,0.4925124792013311
264,poly,0.9,4.5,5,0.4875207986688852
265,poly,0.9,5.0,1,0.480865224625624
266,poly,0.9,5.0,2,0.480865224625624
267,poly,0.9,5.0,3,0.5058236272878536
268,poly,0.9,5.0,4,0.4925124792013311
269,poly,0.9,5.0,5,0.4875207986688852
270,poly,0.9,10.0,1,0.46089850249584025
271,poly,0.9,10.0,2,0.480865224625624
272,poly,0.9,10.0,3,0.5058236272878536
273,poly,0.9,10.0,4,0.4925124792013311
274,poly,0.9,10.0,5,0.4875207986688852
275,rbf,0.1,0.5,3,0.5174708818635607
276,rbf,0.1,1.0,3,0.47420965058236275
277,rbf,0.1,1.5,3,0.4858569051580699
278,rbf,0.1,2.0,3,0.4858569051580699
279,rbf,0.1,2.5,3,0.480865224625624
280,rbf,0.1,3.0,3,0.4825291181364393
281,rbf,0.1,3.5,3,0.47920133111480867
282,rbf,0.1,4.0,3,0.46921797004991683
283,rbf,0.1,4.5,3,0.47088186356073214
284,rbf,0.1,5.0,3,0.46921797004991683
285,rbf,0.1,10.0,3,0.4925124792013311
286,rbf,0.25,0.5,3,0.4925124792013311
287,rbf,0.25,1.0,3,0.4858569051580699
288,rbf,0.25,1.5,3,0.47587354409317806
289,rbf,0.25,2.0,3,0.46422628951747086
290,rbf,0.25,2.5,3,0.4841930116472546
291,rbf,0.25,3.0,3,0.46755407653910147
292,rbf,0.25,3.5,3,0.4875207986688852
293,rbf,0.25,4.0,3,0.4908485856905158
294,rbf,0.25,4.5,3,0.49417637271214643
295,rbf,0.25,5.0,3,0.5008319467554077
296,rbf,0.25,10.0,3,0.4908485856905158
297,rbf,0.5,0.5,3,0.4908485856905158
298,rbf,0.5,1.0,3,0.4908485856905158
299,rbf,0.5,1.5,3,0.46755407653910147
300,rbf,0.5,2.0,3,0.47587354409317806
301,rbf,0.5,2.5,3,0.4875207986688852
302,rbf,0.5,3.0,3,0.4858569051580699
303,rbf,0.5,3.5,3,0.47587354409317806
304,rbf,0.5,4.0,3,0.4841930116472546
305,rbf,0.5,4.5,3,0.4908485856905158
306,rbf,0.5,5.0,3,0.49916805324459235
307,rbf,0.5,10.0,3,0.480865224625624
